245;Zaklęci w czasie;Audrey;Niffenegger
246;Gdy była porządną dziewczyną;Philip;Roth
247;Odyseja;Homer
248;Łaskawa ziemia;Pearl S.;Buck
249;I nie było już nikogo;Agatha;Christie
250;Chłopi;Władysław;Reymont
251;Ptaki ciernistych krzewów;Colleen;McCullough
252;Szklany zamek;Jeannette;Walls
253;Fabryka os;Iain;Banks
254;Siddhartha;Hermann;Hesse
255;Sprzysiężenie głupców;John Kennedy;Toole
256;Umiłowana;Toni;Morrison
257;Miasteczko jak Alece Springs;Nevil;Shute
258;Niezwykła rogatka;Norton;Juster
259;Bracia Karamazow;Fiodor;Dostojewski
260;Historia mego życia";Helen;Keller
